City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.44,76,100,0.98,TF,1729388137
1,sungai penuh,-2.0833,101.3833,24.09,63,35,1.71,ID,1729387889
2,punta arenas,-53.15,-70.9167,8.06,66,100,6.17,CL,1729388139
3,grytviken,-54.2811,-36.5092,-3.62,73,13,2.18,GS,1729388140
4,badger,64.8,-147.5333,-8.07,82,100,2.57,US,1729388142
5,iqaluit,63.7506,-68.5145,-1.15,74,75,0.0,CA,1729388143
6,wilton,38.4119,-121.2722,23.21,32,0,2.57,US,1729388144
7,aasiaat,68.7098,-52.8699,-10.55,75,100,5.74,GL,1729388145
8,bikenibeu village,1.3673,173.1241,30.98,70,40,4.12,KI,1729388147
9,blackmans bay,-43.0167,147.3167,17.07,73,70,3.39,AU,1729388148
10,levuka,50.1834,-105.4011,6.84,43,72,5.38,CA,1729388149
11,tiksi,71.6872,128.8694,-5.9,95,100,3.12,RU,1729388150
12,waitangi,-43.9535,-176.5597,10.44,72,4,0.71,NZ,1729388151
13,sitka,57.0531,-135.33,7.94,61,40,0.0,US,1729388152
14,ribeira grande,38.5167,-28.7,18.76,78,100,7.38,PT,1729388154
15,beeskow,52.1667,14.25,7.87,73,100,2.53,DE,1729388155
16,san juan del sur,11.2529,-85.8705,26.18,85,100,1.87,NI,1729388156
17,kulhudhuffushi,6.6221,73.07,27.94,77,87,4.6,MV,1729388157
18,meridian,43.6121,-116.3915,14.62,48,0,0.45,US,1729388151
19,la'ie,21.6477,-157.9253,30.98,72,11,5.62,US,1729388159
20,maragogi,-9.0122,-35.2225,25.34,71,100,5.13,BR,1729388161
21,adamstown,-25.066,-130.1015,22.03,85,100,8.33,PN,1729388162
22,ustyuzhna,58.8394,36.4321,2.59,83,4,2.39,RU,1729388163
23,whitehorse,60.7161,-135.0538,-6.57,73,100,2.06,CA,1729388164
24,puerto natales,-51.7236,-72.4875,6.54,97,96,1.23,CL,1729387866
25,ataq,14.5377,46.8319,23.06,69,77,1.24,YE,1729388166
26,callao,-12.0667,-77.15,18.73,77,40,5.14,PE,1729387938
27,margaret river,-33.95,115.0667,18.08,76,100,7.57,AU,1729388169
28,zag,46.9441,99.165,-3.17,87,100,2.1,MN,1729388170
29,ghadamis,30.1337,9.5007,19.48,44,100,3.64,LY,1729388171
30,colares,38.7992,-9.4469,17.41,85,100,1.75,PT,1729388172
31,hithadhoo,-0.6,73.0833,28.83,68,18,6.31,MV,1729388174
32,berkeley heights,40.6834,-74.4427,14.25,60,0,0.0,US,1729388175
33,bredasdorp,-34.5322,20.0403,9.53,85,4,0.37,ZA,1729388054
34,al jubayl,27.0112,49.6583,27.96,65,0,3.26,SA,1729387967
35,andreapol',56.6513,32.2664,3.97,75,100,1.65,RU,1729388179
36,margate,51.3813,1.3862,11.5,91,100,4.39,GB,1729387800
37,ushuaia,-54.8,-68.3,6.81,61,75,8.23,AR,1729388110
38,baker city,44.7749,-117.8344,13.84,35,0,4.12,US,1729388183
39,bawku,11.0616,-0.2417,26.39,71,53,1.89,GH,1729388184
40,albany,42.6001,-73.9662,10.44,74,0,1.34,US,1729387903
41,yashkul',46.1711,45.3435,5.94,67,76,3.1,RU,1729388186
42,edinburgh of the seven seas,-37.0676,-12.3116,13.97,90,100,15.23,SH,1729388187
43,longyearbyen,78.2186,15.6401,2.91,81,75,9.26,SJ,1729388189
44,invercargill,-46.4,168.35,18.58,43,100,2.26,NZ,1729388190
45,kamina,-8.7386,24.9906,19.06,84,6,1.62,CD,1729388191
46,bethel,41.3712,-73.414,12.03,76,0,0.45,US,1729388044
47,lerwick,60.1545,-1.1494,10.04,85,2,2.94,GB,1729388193
48,yellowknife,62.456,-114.3525,-3.66,85,75,4.63,CA,1729388194
49,hobyo,5.3505,48.5268,25.32,89,95,6.25,SO,1729388196
50,papatowai,-46.5619,169.4708,17.45,50,100,0.86,NZ,1729388197
51,glen innes,-29.7333,151.7333,25.64,31,0,1.49,AU,1729388198
52,sydney,-33.8679,151.2073,23.19,59,16,1.79,AU,1729388090
53,ilulissat,69.2167,-51.1,-6.99,58,100,5.14,GL,1729388200
54,khash,28.2211,61.2158,17.78,24,3,0.79,IR,1729388201
55,aykhal,66.0,111.5,-13.39,95,99,1.34,RU,1729388203
56,belomorsk,64.5232,34.7668,9.06,88,100,2.7,RU,1729388204
57,jamestown,42.097,-79.2353,11.8,87,0,1.54,US,1729388205
58,amble,55.3333,-1.5833,7.08,93,100,2.57,GB,1729388208
59,lompoc,34.6391,-120.4579,21.23,27,0,3.6,US,1729388209
60,usinsk,65.9939,57.5281,4.07,87,100,9.6,RU,1729388211
61,imbituba,-28.24,-48.6703,16.52,88,100,0.82,BR,1729388212
62,mount isa,-20.7333,139.5,33.87,15,12,6.17,AU,1729388213
63,fale old settlement,-9.3852,-171.2468,28.51,69,86,5.58,TK,1729388214
64,mejit,10.2753,170.8646,27.94,80,65,7.6,MH,1729388215
65,tanout,14.9709,8.8879,27.14,17,54,0.81,NE,1729388217
66,bilibino,68.0546,166.4372,-13.12,95,29,1.54,RU,1729388218
67,conceicao do araguaia,-8.2578,-49.2647,22.83,95,100,2.03,BR,1729388219
68,afaahiti,-17.75,-149.2833,24.12,86,96,9.07,PF,1729388220
69,port augusta,-32.5,137.7667,26.55,25,17,1.27,AU,1729387997
70,swan hill,-35.3378,143.5544,23.09,37,71,5.0,AU,1729388222
71,port mathurin,-19.6833,63.4167,23.21,73,53,6.84,MU,1729388224
72,stanley,54.868,-1.6985,8.01,94,0,1.03,GB,1729388225
73,zheshart,62.0731,49.5733,6.24,93,100,2.24,RU,1729388226
74,jaru,-10.4389,-62.4664,21.38,95,100,1.5,BR,1729388227
75,saipan,15.1355,145.701,28.39,94,100,5.14,MP,1729388228
76,isangel,-19.55,169.2667,24.89,60,1,5.04,VU,1729388229
77,namibe,-15.1961,12.1522,19.66,90,60,2.14,AO,1729388230
78,del rio,29.3627,-100.8968,27.06,55,75,3.6,US,1729388232
